Time:                   Pressure(psi):          
2014:01:14:10:04:11     50,02075                
2014:01:14:10:04:11     50,14359                
2014:01:14:10:04:11     50,31793                
2014:01:14:10:04:12     50,71190                
2014:01:14:10:04:12     50,82830                
2014:01:14:10:04:12     51,23815                
2014:01:14:10:04:12     51,28196                
2014:01:14:10:04:13     51,39750                
2014:01:14:10:04:13     51,56296                
2014:01:14:10:04:13     -6366,58094             
2014:01:14:10:04:13     51,80027                
2014:01:14:10:04:14     51,88341                
2014:01:14:10:04:14     52,14865                
2014:01:14:10:04:14     6526,77061              
2014:01:14:10:04:14     53,30475                
2014:01:14:10:04:15     53,40430                
2014:01:14:10:04:15     53,59414                
2014:01:14:10:04:15     53,75891                
2014:01:14:10:04:15     54,05207                
2014:01:14:10:04:16     54,38494                
2014:01:14:10:04:16     54,47853                
2014:01:14:10:04:16     54,92864                
2014:01:14:10:04:16     54,98360                
2014:01:14:10:04:17     55,72283                
2014:01:14:10:04:17     55,95592                
2014:01:14:10:04:17     56,20029                
2014:01:14:10:04:17     56,46316                
2014:01:14:10:04:18     56,67214                
2014:01:14:10:04:18     57,17712                
2014:01:14:10:04:18     57,58927                
2014:01:14:10:04:18     57,77977                
2014:01:14:10:04:19     57,87549                
2014:01:14:10:04:19     58,67585                
2014:01:14:10:04:19     58,80312                
2014:01:14:10:04:19     -7236,23211             
2014:01:14:10:04:20     58,92404                
2014:01:14:10:04:20     59,18026                
2014:01:14:10:04:20     59,50269                
2014:01:14:10:04:20     -7349,84755             
2014:01:14:10:04:21     59,81382                
2014:01:14:10:04:21     59,88974                
2014:01:14:10:04:21     60,37993                
2014:01:14:10:04:21     -7496,48478             
2014:01:14:10:04:22     61,35223                
2014:01:14:10:04:22     61,37472                
2014:01:14:10:04:22     61,65362                
2014:01:14:10:04:22     62,20168                
2014:01:14:10:04:23     62,28256                
2014:01:14:10:04:23     7672,67809              
2014:01:14:10:04:23     7731,95739              
2014:01:14:10:04:23     63,62487                
2014:01:14:10:04:24     64,36525                
2014:01:14:10:04:24     64,40056                
2014:01:14:10:04:24     64,40401                
2014:01:14:10:04:24     64,60122                
2014:01:14:10:04:25     -8057,29019             
2014:01:14:10:04:25     66,13575                
2014:01:14:10:04:25     66,69061                
2014:01:14:10:04:25     66,86700                
2014:01:14:10:04:26     67,87370                
2014:01:14:10:04:26     68,33342                
2014:01:14:10:04:26     68,74116                
2014:01:14:10:04:26     69,48882                
2014:01:14:10:04:27     69,66595                
2014:01:14:10:04:27     69,73458                
2014:01:14:10:04:27     70,35280                
2014:01:14:10:04:27     70,88406                
2014:01:14:10:04:28     71,13435                
2014:01:14:10:04:28     71,23556                
2014:01:14:10:04:28     8825,23969              
2014:01:14:10:04:28     72,28139                
2014:01:14:10:04:29     72,36851                
2014:01:14:10:04:29     72,43834                
2014:01:14:10:04:29     72,87315                
2014:01:14:10:04:29     8971,29069              
2014:01:14:10:04:30     73,23793                
2014:01:14:10:04:30     73,46608                
2014:01:14:10:04:30     73,52274                
2014:01:14:10:04:30     73,72861                
2014:01:14:10:04:31     74,02909                
2014:01:14:10:04:31     74,04546                
2014:01:14:10:04:31     74,35349                
2014:01:14:10:04:31     75,00562                
2014:01:14:10:04:32     9255,24818              
2014:01:14:10:04:32     75,31717                
2014:01:14:10:04:32     75,45234                
2014:01:14:10:04:32     75,45244                
2014:01:14:10:04:33     75,52943                
2014:01:14:10:04:33     -9423,75498             
2014:01:14:10:04:33     76,64207                
2014:01:14:10:04:33     76,66965                
2014:01:14:10:04:34     76,76768                
2014:01:14:10:04:34     76,98630                
2014:01:14:10:04:34     77,52150                
2014:01:14:10:04:34     77,64513                
2014:01:14:10:04:35     77,66271                
2014:01:14:10:04:35     77,71095                
2014:01:14:10:04:35     78,49934                
2014:01:14:10:04:35     79,13014                
2014:01:14:10:04:36     79,72476                
